audio_file|text
wavs/a0001.wav|kad statybininkai pasistengs
wavs/a0002.wav|registracijos panaikinimas
wavs/a0003.wav|Kaip valstybė gali užtikrinti?
wavs/a0004.wav|Tačiau du tūkstančiai ketvirtais metais
wavs/a0005.wav|kurių mirtis buvo patvirtinta
wavs/a0006.wav|trisdešimt vienas straipsnis
wavs/a0007.wav|Lietuvos Respublikos įstatymai
wavs/a0008.wav|nors ir visiškai nereikalinga
wavs/a0009.wav|Gyventojai pradėjo protestuoti
wavs/a0010.wav|kad jaunimas neturi savo lėšų
wavs/a0011.wav|ką reikia keisti daryti kitaip?
wavs/a0012.wav|yra nepolitinė organizacija
wavs/a0013.wav|Paskui laukti finansavimo ir sprendimo
wavs/a0014.wav|jis tinkamas ir galiausiai tyla
wavs/a0015.wav|nepriklausomos institucijos
wavs/a0016.wav|ministerijos teismai kavinės
wavs/a0017.wav|sutapimai gali būti tik atsitiktiniai
wavs/a0018.wav|Projektas labai svarbus mūsų šalims
wavs/a0019.wav|vadovauja pagal darbo sutartį
wavs/a0020.wav|Aiškinantis su specialistais
wavs/a0021.wav|sakė savivaldybės darbuotojas
wavs/a0022.wav|Taip pat virš dvidešimt vaikų
wavs/a0023.wav|bet ir mokėti pasakyti žmonėms
wavs/a0024.wav|Susirinkimas laikomas teisėtu
wavs/a0025.wav|socialinio bendravimo gebėjimus
wavs/a0026.wav|paralyžiuojamas traukinių eismas
wavs/a0028.wav|įkali nulis kablelis penki em
wavs/a0029.wav|Jei vaikas padaro nusikaltimą
wavs/a0030.wav|teikiantis tradicines paslaugas
wavs/a0031.wav|Tokios kalbos prasmingos ne daugiau
wavs/a0032.wav|kad būtų kiekvienoje mokykloje
wavs/a0033.wav|Pareigūnas priimantis dokumentus
wavs/a0034.wav|ir stengiasi suprasti gyvenimą
wavs/a0035.wav|kurie nuleidinėja informaciją konkurentams
wavs/a0036.wav|kad ši priemonė jau seniai naudojama
wavs/a0037.wav|arba žmonės pripasakojo jam istorijų
wavs/a0038.wav|dažnai tekdavo dalyvauti įvairiose komisijose
wavs/a0039.wav|panašių klaidų kartoti negalima
wavs/a0040.wav|kitos kultūros autorius ir aprašyti
wavs/a0041.wav|todėl turiu dorai prisipažinti
wavs/a0042.wav|Tai pirmas kartas per daug metų
wavs/a0043.wav|nesutinkančios su Vyriausybės programa
wavs/a0044.wav|ir du teisingumo ministro paskirti
wavs/a0045.wav|kalbėdamas apie Dievą ir moteris
wavs/a0046.wav|įsikūrusios toliau devyniolika
wavs/a0047.wav|Atliktais tyrimais nustatyta
wavs/a0048.wav|penkiasdešimt septyni Nacionalinės
wavs/a0049.wav|Ką išsirinkome tą ir turėsime
wavs/a0050.wav|seimo komitetų sudarymo tvarka
wavs/a0051.wav|autorinio atlyginimo neskirti
wavs/a0052.wav|Pakilus viskas vyko įprastai
wavs/a0053.wav|Jis palaikė Prezidento idėją
wavs/a0054.wav|Jos visame pasaulyje labai vertinamos
wavs/a0055.wav|Nagrinėdami klausimą kas yra žmogus?
wavs/a0056.wav|pristatyti ir neįgaliųjų dirbiniai
wavs/a0057.wav|galimybes taikyti juos Lietuvoje
wavs/a0058.wav|mokytojai negalėjo patikėti
wavs/a0059.wav|nenurodant kaimo pavadinimo
wavs/a0060.wav|naminės tarp tautinio paveldo produktų nėra
wavs/a0061.wav|Per dešimt metų aštuoni šimtai
wavs/a0062.wav|Vis dėlto panevėžietis tikino
wavs/a0063.wav|jeigu tarybos narys tikrai dirba
